SessionID[b'OTM5'] 2019-04-02 16:40:47,204 : b'Wrote 0 leases to leases file.'
SessionID[b'OTM5'] 2019-04-02 16:40:51,314 : b''
SessionID[b'OTM5'] 2019-04-02 16:40:51,315 : b'No subnet declaration for wlxc83a35cef744 (10.0.0.1).'
SessionID[b'OTM5'] 2019-04-02 16:40:51,316 : b'** Ignoring requests on wlxc83a35cef744.  If this is not what'
SessionID[b'OTM5'] 2019-04-02 16:40:51,316 : b'   you want, please write a subnet declaration'
SessionID[b'OTM5'] 2019-04-02 16:40:51,316 : b'   in your dhcpd.conf file for the network segment'
SessionID[b'OTM5'] 2019-04-02 16:40:51,316 : b'   to which interface wlxc83a35cef744 is attached. **'
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b''
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b''
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b'Not configured to listen on any interfaces!'
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b''
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b'If you think you have received this message due to a bug rather'
SessionID[b'OTM5'] 2019-04-02 16:40:51,317 : b'than a configuration issue please read the section on submitting'
SessionID[b'OTM5'] 2019-04-02 16:40:51,318 : b'bugs on either our web page at www.isc.org or in the README file'
SessionID[b'OTM5'] 2019-04-02 16:40:51,318 : b'before submitting a bug.  These pages explain the proper'
SessionID[b'OTM5'] 2019-04-02 16:40:51,318 : b'process and the information we find helpful for debugging..'
SessionID[b'OTM5'] 2019-04-02 16:40:51,318 : b''
SessionID[b'OTM5'] 2019-04-02 16:40:51,318 : b'exiting.'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,588 : ---[ Start DHCP Tue Apr  2 16:44:06 2019]---
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,621 : b'Internet Systems Consortium DHCP Server 4.3.5'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,622 : b'Copyright 2004-2016 Internet Systems Consortium.'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,624 : b'All rights reserved.'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,625 : b'For info, please visit https://www.isc.org/software/dhcp/'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,663 : b'Config file: /etc/dhcp/dhcpd.conf'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,667 : b'Database file: /var/lib/dhcp/dhcpd.leases'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,668 : b'PID file: /var/run/dhcpd.pid'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:06,670 : b'Wrote 0 leases to leases file.'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,799 : b''
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'No subnet declaration for wlxc83a35cef744 (10.0.0.1).'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'** Ignoring requests on wlxc83a35cef744.  If this is not what'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'   you want, please write a subnet declaration'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'   in your dhcpd.conf file for the network segment'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'   to which interface wlxc83a35cef744 is attached. **'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b''
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b''
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'Not configured to listen on any interfaces!'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b''
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'If you think you have received this message due to a bug rather'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'than a configuration issue please read the section on submitting'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'bugs on either our web page at www.isc.org or in the README file'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'before submitting a bug.  These pages explain the proper'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'process and the information we find helpful for debugging..'
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b''
SessionID[b'ODQyNzE='] 2019-04-02 16:44:09,800 : b'exiting.'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,157 : ---[ Start DHCP Tue Apr  2 16:46:04 2019]---
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,181 : b'Internet Systems Consortium DHCP Server 4.3.5'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,183 : b'Copyright 2004-2016 Internet Systems Consortium.'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,183 : b'All rights reserved.'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,183 : b'For info, please visit https://www.isc.org/software/dhcp/'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,193 : b'Config file: /etc/dhcp/dhcpd.conf'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,194 : b'Database file: /var/lib/dhcp/dhcpd.leases'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,194 : b'PID file: /var/run/dhcpd.pid'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:04,195 : b'Wrote 0 leases to leases file.'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,731 : b''
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,731 : b'No subnet declaration for wlxc83a35cef744 (10.0.0.1).'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,732 : b'** Ignoring requests on wlxc83a35cef744.  If this is not what'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,740 : b'   you want, please write a subnet declaration'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,740 : b'   in your dhcpd.conf file for the network segment'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,740 : b'   to which interface wlxc83a35cef744 is attached. **'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,740 : b''
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b''
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'Not configured to listen on any interfaces!'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b''
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'If you think you have received this message due to a bug rather'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'than a configuration issue please read the section on submitting'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'bugs on either our web page at www.isc.org or in the README file'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'before submitting a bug.  These pages explain the proper'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,741 : b'process and the information we find helpful for debugging..'
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,742 : b''
SessionID[b'MTUyMjY='] 2019-04-02 16:46:07,742 : b'exiting.'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,508 : ---[ Start DHCP Tue Apr  2 16:53:00 2019]---
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,602 : b'Internet Systems Consortium DHCP Server 4.3.5'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,604 : b'Copyright 2004-2016 Internet Systems Consortium.'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,606 : b'All rights reserved.'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,607 : b'For info, please visit https://www.isc.org/software/dhcp/'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,611 : b"Can't open /etc/dhcp/dhcpd.conf: No such file or directory"
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,613 : b''
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,614 : b'If you think you have received this message due to a bug rather'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,615 : b'than a configuration issue please read the section on submitting'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,616 : b'bugs on either our web page at www.isc.org or in the README file'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,616 : b'before submitting a bug.  These pages explain the proper'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,618 : b'process and the information we find helpful for debugging..'
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,620 : b''
SessionID[b'ODUwOA=='] 2019-04-02 16:53:00,621 : b'exiting.'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,723 : ---[ Start DHCP Tue Apr  2 16:54:15 2019]---
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,769 : b'Internet Systems Consortium DHCP Server 4.3.5'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,770 : b'Copyright 2004-2016 Internet Systems Consortium.'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,772 : b'All rights reserved.'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,780 : b'For info, please visit https://www.isc.org/software/dhcp/'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,819 : b'Config file: /etc/dhcp/dhcpd.conf'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,820 : b'Database file: /var/lib/dhcp/dhcpd.leases'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,821 : b'PID file: /var/run/dhcpd.pid'
SessionID[b'OTE2Mzg='] 2019-04-02 16:54:15,823 : b'Wrote 0 leases to leases file.'
